Âge,Niveau,Matière,Objectif principal,Évalué par
7,Confirmé,Technologie et compétences numériques,"""Explorer les bases de la programmation avec des jeux ou robots éducatifs adaptés.""",IA
7,Avancé,Technologie et compétences numériques,"""Découvrir des outils numériques pour résoudre des problèmes créatifs, comme assembler des puzzles.""",IA
7,Expert,Technologie et compétences numériques,"""Observer comment les robots ou technologies automatisées fonctionnent dans des vidéos ou ateliers.""",IA
7,Maître,Technologie et compétences numériques,"""Proposer des idées pour utiliser la technologie afin d’aider leurs proches ou leur classe.""",Humain
8,Initié,Technologie et compétences numériques,"""Apprendre à utiliser les fonctions de base d’un ordinateur, comme la souris et le clavier.""",IA
8,Apprenti,Technologie et compétences numériques,"""Naviguer dans des logiciels simples, comme un traitement de texte ou un logiciel de dessin.""",IA
8,Praticien,Technologie et compétences numériques,"""Comprendre les bases de la sécurité en ligne, comme protéger ses mots de passe.""",IA
8,Confirmé,Technologie et compétences numériques,"""Créer des dessins ou projets simples à l’aide de logiciels numériques.""",IA
8,Avancé,Technologie et compétences numériques,"""Enregistrer, organiser et retrouver des fichiers dans des dossiers numériques.""",IA
8,Expert,Technologie et compétences numériques,"""Découvrir les bases de la communication en ligne, comme envoyer des e-mails.""",IA
8,Maître,Technologie et compétences numériques,"""Participer à des activités numériques favorisant la créativité, comme les jeux éducatifs.""",IA
9,Initié,Technologie et compétences numériques,"""Créer des documents plus complexes avec des outils de mise en forme avancés.""",IA
9,Apprenti,Technologie et compétences numériques,"""Utiliser un logiciel de présentation pour créer un diaporama avec images et texte.""",IA
9,Praticien,Technologie et compétences numériques,"""Explorer les bases du codage, comme les boucles et conditions dans des environnements simples.""",IA
9,Confirmé,Technologie et compétences numériques,"""Découvrir les risques liés aux logiciels malveillants et apprendre à les éviter.""",IA
9,Avancé,Technologie et compétences numériques,"""Réaliser un projet collaboratif en ligne en utilisant des outils partagés.""",IA
9,Expert,Technologie et compétences numériques,"""Analyser des données simples dans un tableau, comme organiser une liste ou créer un graphique.""",IA
9,Maître,Technologie et compétences numériques,"""Créer un projet numérique autour d’un thème, comme la conservation de l’environnement.""",Humain
10,Initié,Technologie et compétences numériques,"""Développer des compétences avancées dans la conception multimédia, comme le montage vidéo.""",IA
10,Apprenti,Technologie et compétences numériques,"""Apprendre les bases du langage HTML pour créer une page web simple.""",IA
10,Praticien,Technologie et compétences numériques,"""Utiliser des outils de collaboration en ligne, comme le partage de documents en temps réel.""",IA
10,Confirmé,Technologie et compétences numériques,"""Identifier et appliquer les bonnes pratiques en matière de cybersécurité.""",IA
10,Avancé,Technologie et compétences numériques,"""Programmer des projets simples en utilisant des environnements visuels ou des scripts.""",IA
10,Expert,Technologie et compétences numériques,"""Analyser des tendances dans des ensembles de données numériques pour tirer des conclusions.""",IA
10,Maître,Technologie et compétences numériques,"""Créer une campagne numérique pour sensibiliser à un sujet social ou environnemental.""",Humain
11,Initié,Technologie et compétences numériques,"""Concevoir et programmer des applications interactives ou des sites web complexes.""",IA
11,Apprenti,Technologie et compétences numériques,"""Appliquer des algorithmes de base pour résoudre des problèmes numériques.""",IA
11,Praticien,Technologie et compétences numériques,"""Créer des projets interdisciplinaires combinant art, sciences et technologie.""",Humain
11,Confirmé,Technologie et compétences numériques,"""Évaluer les impacts sociaux et éthiques des technologies numériques modernes.""",Humain
11,Avancé,Technologie et compétences numériques,"""Utiliser des systèmes d’information géographique (SIG) pour des projets complexes.""",IA
11,Expert,Technologie et compétences numériques,"""Travailler avec de grandes bases de données pour extraire des informations pertinentes.""",IA
11,Maître,Technologie et compétences numériques,"""Former d’autres utilisateurs aux technologies ou outils numériques avancés.""",Humain
12,Initié,Technologie et compétences numériques,"""Apprendre à utiliser les outils numériques de base, comme les traitements de texte et les tableurs.""",IA
12,Apprenti,Technologie et compétences numériques,"""Organiser et structurer des fichiers dans des systèmes de gestion numérique.""",IA
12,Praticien,Technologie et compétences numériques,"""Créer des présentations simples intégrant texte, images et animations.""",IA
12,Confirmé,Technologie et compétences numériques,"""Comprendre les bases de la cybersécurité, comme la gestion des mots de passe et les bonnes pratiques en ligne.""",IA
12,Avancé,Technologie et compétences numériques,"""Utiliser des plateformes numériques pour collaborer sur des projets en groupe.""",IA
12,Expert,Technologie et compétences numériques,"""Explorer des logiciels éducatifs pour résoudre des problèmes pratiques.""",IA
12,Maître,Technologie et compétences numériques,"""Découvrir les bases de la programmation à travers des environnements visuels ou des scripts simples.""",IA
13,Initié,Technologie et compétences numériques,"""Créer des documents complexes en utilisant des outils de mise en page avancés.""",IA
13,Apprenti,Technologie et compétences numériques,"""Analyser des données simples en créant des graphiques et des tableaux à l’aide d’un tableur.""",IA
13,Praticien,Technologie et compétences numériques,"""Réaliser des projets multimédias en combinant vidéo, image et son.""",IA
13,Confirmé,Technologie et compétences numériques,"""Comprendre les risques liés aux logiciels malveillants et savoir les éviter.""",IA
13,Avancé,Technologie et compétences numériques,"""Appliquer les bases du codage pour créer des programmes ou des animations simples.""",IA
13,Expert,Technologie et compétences numériques,"""Collaborer en ligne en utilisant des outils comme le partage de documents et les forums de discussion.""",IA
13,Maître,Technologie et compétences numériques,"""Proposer des solutions numériques pour répondre à des problématiques concrètes, comme l’organisation d’événements.""",Humain
14,Initié,Technologie et compétences numériques,"""Utiliser des outils numériques avancés, comme des logiciels de retouche ou des plateformes de création graphique.""",IA
14,Apprenti,Technologie et compétences numériques,"""Programmer des projets plus complexes intégrant des boucles, des conditions et des variables.""",IA
14,Praticien,Technologie et compétences numériques,"""Analyser des ensembles de données plus importants pour identifier des tendances et tirer des conclusions.""",IA
14,Confirmé,Technologie et compétences numériques,"""Concevoir des sites web simples à l’aide de langages comme HTML et CSS.""",IA
14,Avancé,Technologie et compétences numériques,"""Participer à des discussions sur l’éthique et les impacts de la technologie dans la société.""",Humain
14,Expert,Technologie et compétences numériques,"""Créer et gérer des campagnes numériques pour sensibiliser à des enjeux sociaux ou environnementaux.""",Humain
14,Maître,Technologie et compétences numériques,"""Former ses pairs à l’utilisation d’outils numériques spécifiques ou à des compétences avancées.""",Humain
15,Initié,Technologie et compétences numériques,"""Utiliser des outils de bureautique avancés, comme les tableurs avec formules et graphiques complexes.""",IA
15,Apprenti,Technologie et compétences numériques,"""Créer des présentations multimédias intégrant texte, images, vidéo et animations.""",IA
15,Praticien,Technologie et compétences numériques,"""Comprendre les bases de la cybersécurité, comme la protection des données personnelles et le chiffrement.""",IA
15,Confirmé,Technologie et compétences numériques,"""Explorer les bases de la programmation en utilisant des langages simples, comme Python ou JavaScript.""",IA
15,Avancé,Technologie et compétences numériques,"""Analyser des données simples à l’aide d’outils comme Excel ou Google Sheets.""",IA
15,Expert,Technologie et compétences numériques,"""Participer à des projets collaboratifs en ligne en utilisant des plateformes partagées.""",IA
15,Maître,Technologie et compétences numériques,"""Discuter de l’impact des technologies numériques sur la société et les comportements individuels.""",Humain
16,Initié,Technologie et compétences numériques,"""Créer des sites web de base en utilisant HTML, CSS et JavaScript.""",IA
16,Apprenti,Technologie et compétences numériques,"""Programmer des projets simples en utilisant des boucles, des conditions et des fonctions.""",IA
16,Praticien,Technologie et compétences numériques,"""Analyser de grands ensembles de données pour identifier des tendances et formuler des hypothèses.""",IA
16,Confirmé,Technologie et compétences numériques,"""Utiliser des outils graphiques pour produire des visuels professionnels, comme des infographies.""",IA
16,Avancé,Technologie et compétences numériques,"""Collaborer sur des projets numériques interdisciplinaires, comme des blogs ou des portfolios en ligne.""",IA
16,Expert,Technologie et compétences numériques,"""Comprendre les concepts d’intelligence artificielle et d’apprentissage automatique à travers des outils éducatifs.""",IA
16,Maître,Technologie et compétences numériques,"""Proposer des solutions numériques pour résoudre des problèmes locaux ou globaux.""",IA
17,Initié,Technologie et compétences numériques,"""Concevoir des applications ou des outils interactifs pour des projets spécifiques.""",IA
17,Apprenti,Technologie et compétences numériques,"""Utiliser des outils avancés de visualisation de données pour créer des rapports complexes.""",IA
17,Praticien,Technologie et compétences numériques,"""Explorer les implications éthiques et juridiques de l’utilisation des technologies modernes.""",Humain
17,Confirmé,Technologie et compétences numériques,"""Participer à des concours ou hackathons pour développer des solutions numériques innovantes.""",Humain
17,Avancé,Technologie et compétences numériques,"""Créer des projets numériques interdisciplinaires intégrant programmation, design et analyse.""",IA
17,Expert,Technologie et compétences numériques,"""Développer un portfolio numérique présentant des compétences techniques avancées.""",Humain
17,Maître,Technologie et compétences numériques,"""Former ses pairs ou sa communauté à l’utilisation responsable et efficace des technologies.""",Humain
5,Initié,Compétences pratiques de vie et citoyenneté,"""Apprendre à respecter les règles simples dans des jeux ou activités en groupe.""",Humain
5,Apprenti,Compétences pratiques de vie et citoyenneté,"""Partager des responsabilités, comme ranger après une activité.""",Humain
5,Praticien,Compétences pratiques de vie et citoyenneté,"""Comprendre l’importance de dire « merci » et « s’il vous plaît » dans les interactions quotidiennes.""",Humain
5,Confirmé,Compétences pratiques de vie et citoyenneté,"""Identifier les membres de la communauté et leurs rôles (enseignant, pompier, médecin).""",Humain
5,Avancé,Compétences pratiques de vie et citoyenneté,"""Exprimer ses émotions de manière appropriée avec des mots simples.""",Humain
5,Expert,Compétences pratiques de vie et citoyenneté,"""Participer à des activités collectives, comme chanter ou réaliser un projet en classe.""",Humain
5,Maître,Compétences pratiques de vie et citoyenneté,"""Discuter de l’importance de prendre soin des objets partagés, comme les livres ou les jouets.""",Humain
6,Initié,Compétences pratiques de vie et citoyenneté,"""Comprendre pourquoi il est important d’aider ses amis ou ses camarades de classe.""",Humain
6,Apprenti,Compétences pratiques de vie et citoyenneté,"""Participer à des discussions pour résoudre des conflits mineurs, comme partager un jouet.""",Humain
6,Praticien,Compétences pratiques de vie et citoyenneté,"""Apprendre à se fixer de petits objectifs, comme terminer une tâche dans un délai donné.""",Humain
6,Confirmé,Compétences pratiques de vie et citoyenneté,"""Reconnaître les règles de sécurité dans des contextes quotidiens, comme traverser une rue.""",Humain
6,Avancé,Compétences pratiques de vie et citoyenneté,"""Observer les habitudes d’hygiène personnelle et leur impact sur le bien-être.""",Humain
6,Expert,Compétences pratiques de vie et citoyenneté,"""Découvrir les différences culturelles à travers des histoires ou des activités.""",Humain
6,Maître,Compétences pratiques de vie et citoyenneté,"""S’engager dans des tâches communautaires simples, comme nettoyer un espace partagé.""",Humain
7,Initié,Compétences pratiques de vie et citoyenneté,"""Travailler en équipe pour accomplir une tâche collective, comme organiser un jeu ou une fête.""",Humain
7,Apprenti,Compétences pratiques de vie et citoyenneté,"""Discuter de l’importance des règles pour assurer la sécurité et l’équité.""",Humain
7,Praticien,Compétences pratiques de vie et citoyenneté,"""Expliquer les raisons derrière des comportements responsables, comme recycler ou économiser l’eau.""",Humain
7,Confirmé,Compétences pratiques de vie et citoyenneté,"""Participer à des simulations ou jeux de rôle pour explorer des métiers ou situations sociales.""",Humain
7,Avancé,Compétences pratiques de vie et citoyenneté,"""Observer comment les décisions d’un groupe affectent les résultats pour tous.""",Humain
7,Expert,Compétences pratiques de vie et citoyenneté,"""Proposer des idées pour améliorer leur environnement immédiat, comme décorer la classe.""",Humain
7,Maître,Compétences pratiques de vie et citoyenneté,"""Créer un petit projet collectif, comme une affiche ou une histoire en groupe, pour représenter une valeur comme le respect ou l’entraide.""",Humain
8,Initié,Compétences pratiques de vie et citoyenneté,"""Apprendre à respecter les règles dans des jeux et activités collectives.""",Humain
8,Apprenti,Compétences pratiques de vie et citoyenneté,"""Partager des responsabilités simples, comme ranger après une activité.""",Humain
8,Praticien,Compétences pratiques de vie et citoyenneté,"""Discuter de l’importance de l’honnêteté et du respect dans la vie quotidienne.""",Humain
8,Confirmé,Compétences pratiques de vie et citoyenneté,"""Participer à des activités favorisant l’entraide et la collaboration.""",Humain
8,Avancé,Compétences pratiques de vie et citoyenneté,"""Découvrir le rôle de la famille, de l’école et de la communauté.""",Humain
8,Expert,Compétences pratiques de vie et citoyenneté,"""Exprimer des émotions de manière appropriée dans des situations sociales.""",Humain
8,Maître,Compétences pratiques de vie et citoyenneté,"""Identifier des façons simples d’aider les autres dans son entourage.""",Humain
9,Initié,Compétences pratiques de vie et citoyenneté,"""Reconnaître les causes fréquentes de conflits et proposer des solutions pacifiques.""",Humain
9,Apprenti,Compétences pratiques de vie et citoyenneté,"""Collaborer dans des projets de groupe en respectant les rôles de chacun.""",Humain
9,Praticien,Compétences pratiques de vie et citoyenneté,"""Fixer des objectifs personnels simples, comme économiser pour un achat.""",Humain
9,Confirmé,Compétences pratiques de vie et citoyenneté,"""Comprendre les bases des droits et devoirs des citoyens dans une société.""",Humain
9,Avancé,Compétences pratiques de vie et citoyenneté,"""Discuter de l’importance de la diversité et du respect des différences.""",Humain
9,Expert,Compétences pratiques de vie et citoyenneté,"""Participer à des activités locales, comme un projet de nettoyage ou une collecte.""",Humain
9,Maître,Compétences pratiques de vie et citoyenneté,"""Réfléchir à l’impact de ses actions sur les autres et sur l’environnement.""",Humain
10,Initié,Compétences pratiques de vie et citoyenneté,"""Gérer son emploi du temps en équilibrant études, loisirs et responsabilités.""",Humain
10,Apprenti,Compétences pratiques de vie et citoyenneté,"""Travailler en équipe pour résoudre des problèmes pratiques, comme organiser un événement.""",Humain
10,Praticien,Compétences pratiques de vie et citoyenneté,"""Évaluer des scénarios pour prendre des décisions éthiques et responsables.""",Humain
10,Confirmé,Compétences pratiques de vie et citoyenneté,"""Planifier des étapes pour atteindre des objectifs à moyen terme.""",Humain
10,Avancé,Compétences pratiques de vie et citoyenneté,"""Découvrir les bases des finances personnelles, comme créer un budget simple.""",Humain
10,Expert,Compétences pratiques de vie et citoyenneté,"""Participer activement à des initiatives communautaires, comme un club ou une association.""",Humain
10,Maître,Compétences pratiques de vie et citoyenneté,"""Encourager la coopération et le leadership dans des projets collectifs.""",Humain
11,Initié,Compétences pratiques de vie et citoyenneté,"""Appliquer des compétences avancées en gestion de projets, comme utiliser des outils numériques.""",IA
11,Apprenti,Compétences pratiques de vie et citoyenneté,"""Analyser des enjeux sociaux et proposer des solutions pratiques et équitables.""",Humain
11,Praticien,Compétences pratiques de vie et citoyenneté,"""S’engager dans des débats constructifs sur des sujets d’actualité locaux ou mondiaux.""",Humain
11,Confirmé,Compétences pratiques de vie et citoyenneté,"""Développer un plan de carrière aligné avec ses forces et ses centres d’intérêt.""",Humain
11,Avancé,Compétences pratiques de vie et citoyenneté,"""Participer à des projets d’entrepreneuriat ou de bénévolat pour améliorer sa communauté.""",Humain
11,Expert,Compétences pratiques de vie et citoyenneté,"""Agir comme mentor ou modèle pour les plus jeunes dans des activités sociales.""",Humain
11,Maître,Compétences pratiques de vie et citoyenneté,"""Proposer et réaliser un projet impactant sur le bien-être collectif ou environnemental.""",Humain
12,Initié,Compétences pratiques de vie et citoyenneté,"""Comprendre les droits et responsabilités des citoyens dans une société démocratique.""",Humain
12,Apprenti,Compétences pratiques de vie et citoyenneté,"""Participer à des activités collaboratives pour résoudre des problèmes simples en groupe.""",Humain
12,Praticien,Compétences pratiques de vie et citoyenneté,"""Gérer des responsabilités personnelles, comme planifier son temps pour les études et les loisirs.""",Humain
12,Confirmé,Compétences pratiques de vie et citoyenneté,"""Identifier des comportements éthiques dans des situations du quotidien.""",Humain
12,Avancé,Compétences pratiques de vie et citoyenneté,"""Explorer les rôles et les fonctions des institutions locales et nationales.""",Humain
12,Expert,Compétences pratiques de vie et citoyenneté,"""Discuter des valeurs fondamentales, comme l’équité, le respect et la responsabilité.""",Humain
12,Maître,Compétences pratiques de vie et citoyenneté,"""S’engager dans des activités communautaires simples, comme des collectes ou des projets locaux.""",Humain
13,Initié,Compétences pratiques de vie et citoyenneté,"""Fixer des objectifs personnels à court terme et planifier les étapes pour les atteindre.""",Humain
13,Apprenti,Compétences pratiques de vie et citoyenneté,"""Participer activement à des projets de groupe, en assumant des rôles spécifiques.""",Humain
13,Praticien,Compétences pratiques de vie et citoyenneté,"""Analyser des scénarios pour comprendre les conséquences de choix éthiques et responsables.""",Humain
13,Confirmé,Compétences pratiques de vie et citoyenneté,"""Discuter des enjeux sociaux actuels, comme l’environnement ou l’égalité des genres.""",Humain
13,Avancé,Compétences pratiques de vie et citoyenneté,"""Créer un budget simple pour comprendre les principes de gestion financière.""",Humain
13,Expert,Compétences pratiques de vie et citoyenneté,"""Explorer les bases des métiers et des parcours éducatifs liés à ses centres d’intérêt.""",Humain
13,Maître,Compétences pratiques de vie et citoyenneté,"""Contribuer à des initiatives locales pour améliorer la qualité de vie dans sa communauté.""",Humain
14,Initié,Compétences pratiques de vie et citoyenneté,"""Développer des stratégies pour équilibrer études, travail et responsabilités personnelles.""",Humain
14,Apprenti,Compétences pratiques de vie et citoyenneté,"""Collaborer sur des projets communautaires impliquant plusieurs partenaires ou institutions.""",Humain
14,Praticien,Compétences pratiques de vie et citoyenneté,"""Participer à des débats structurés sur des questions d’actualité ou des dilemmes éthiques.""",Humain
14,Confirmé,Compétences pratiques de vie et citoyenneté,"""Créer un plan de carrière en identifiant ses forces, ses intérêts et les opportunités éducatives.""",Humain
14,Avancé,Compétences pratiques de vie et citoyenneté,"""Organiser des événements ou initiatives communautaires, comme des campagnes de sensibilisation.""",Humain
14,Expert,Compétences pratiques de vie et citoyenneté,"""Proposer des solutions à des problèmes sociaux ou environnementaux complexes.""",Humain
14,Maître,Compétences pratiques de vie et citoyenneté,"""Agir comme mentor ou guide pour aider d’autres élèves à développer leurs compétences sociales.""",Humain
15,Initié,Compétences pratiques de vie et citoyenneté,"""Comprendre les droits et responsabilités des citoyens dans une démocratie.""",Humain
15,Apprenti,Compétences pratiques de vie et citoyenneté,"""Apprendre à gérer son temps efficacement pour équilibrer études, travail et loisirs.""",Humain
15,Praticien,Compétences pratiques de vie et citoyenneté,"""Participer à des discussions sur des enjeux sociaux simples, comme le recyclage ou la sécurité routière.""",Humain
15,Confirmé,Compétences pratiques de vie et citoyenneté,"""Identifier les ressources communautaires disponibles pour le soutien personnel ou académique.""",Humain
15,Avancé,Compétences pratiques de vie et citoyenneté,"""Apprendre à résoudre des conflits mineurs en utilisant des stratégies de communication assertive.""",Humain
15,Expert,Compétences pratiques de vie et citoyenneté,"""S’engager dans des activités collaboratives pour contribuer à des projets de classe ou locaux.""",Humain
15,Maître,Compétences pratiques de vie et citoyenneté,"""Observer l’impact de ses actions personnelles sur sa communauté ou son environnement.""",Humain
16,Initié,Compétences pratiques de vie et citoyenneté,"""Fixer des objectifs à moyen terme, comme réussir un projet ou économiser pour un achat.""",Humain
16,Apprenti,Compétences pratiques de vie et citoyenneté,"""Analyser des enjeux sociaux contemporains, comme l’égalité des genres ou la lutte contre la discrimination.""",Humain
16,Praticien,Compétences pratiques de vie et citoyenneté,"""Participer à des initiatives citoyennes, comme des collectes de fonds ou des campagnes de sensibilisation.""",Humain
16,Confirmé,Compétences pratiques de vie et citoyenneté,"""Planifier des activités collaboratives, comme organiser un événement scolaire ou communautaire.""",Humain
16,Avancé,Compétences pratiques de vie et citoyenneté,"""Découvrir les bases de la gestion financière personnelle, comme créer un budget ou économiser.""",Humain
16,Expert,Compétences pratiques de vie et citoyenneté,"""Explorer les implications éthiques des choix individuels et collectifs sur les autres.""",Humain
16,Maître,Compétences pratiques de vie et citoyenneté,"""Proposer des idées concrètes pour améliorer la qualité de vie dans sa communauté.""",Humain
17,Initié,Compétences pratiques de vie et citoyenneté,"""S’engager dans des projets de service communautaire ou de bénévolat à grande échelle.""",Humain
17,Apprenti,Compétences pratiques de vie et citoyenneté,"""Collaborer sur des initiatives visant à résoudre des problèmes locaux ou régionaux.""",Humain
17,Praticien,Compétences pratiques de vie et citoyenneté,"""Participer à des débats ou forums sur des enjeux complexes, comme le changement climatique ou les droits humains.""",Humain
17,Confirmé,Compétences pratiques de vie et citoyenneté,"""Créer des plans à long terme pour atteindre des objectifs éducatifs ou professionnels.""",Humain
17,Avancé,Compétences pratiques de vie et citoyenneté,"""Évaluer les politiques publiques et proposer des améliorations basées sur des recherches ou des observations.""",Humain
17,Expert,Compétences pratiques de vie et citoyenneté,"""Organiser des campagnes de sensibilisation ou des projets éducatifs pour engager la communauté.""",Humain
17,Maître,Compétences pratiques de vie et citoyenneté,"""Agir comme mentor ou guide pour encourager les autres à s’impliquer activement dans des causes sociales.""",Humain